Android application is debugging.
02-10 21:27:59.965 I/art     (26521): Late-enabling -Xcheck:jni
02-10 21:28:04.002 D/Mono    (26521): Assembly Xamarin.Android.Support.v7.MediaRouter[0xb7c01400] added to domain RootDomain, ref_count=1
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/RestSharp.dll [External]
02-10 21:28:04.019 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.MediaRouter.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.v7.MediaRouter.dll.so" not found
02-10 21:28:04.021 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Android.Support.v7.MediaRouter.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.v7.MediaRouter.dll.so" not found
02-10 21:28:04.026 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.MediaRouter.dll'.
02-10 21:28:04.026 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.MediaRouter.dll.config'.
02-10 21:28:04.027 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.v7.MediaRouter/Xamarin.Android.Support.v7.MediaRouter.config'.
02-10 21:28:04.029 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.Palette.dll'.
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/SQLite-net.dll [External]
02-10 21:28:04.038 D/Mono    (26521): Image addref Xamarin.Android.Support.v7.Palette[0xb7c02298] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.Palette.dll[0xb7c01938]: 2
02-10 21:28:04.038 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Android.Support.v7.Palette' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.Palette.dll)
02-10 21:28:04.038 D/Mono    (26521): Assembly Xamarin.Android.Support.v7.Palette[0xb7c02298] added to domain RootDomain, ref_count=1
02-10 21:28:04.044 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.Palette.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.v7.Palette.dll.so" not found
02-10 21:28:04.046 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Android.Support.v7.Palette.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.v7.Palette.dll.so" not found
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/SQLitePCLRaw.batteries_green.dll [External]
02-10 21:28:04.052 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.Palette.dll'.
02-10 21:28:04.052 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.Palette.dll.config'.
02-10 21:28:04.054 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.v7.Palette/Xamarin.Android.Support.v7.Palette.config'.
02-10 21:28:04.055 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.RecyclerView.dll'.
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/SQLitePCLRaw.batteries_v2.dll [External]
02-10 21:28:04.077 D/Mono    (26521): Image addref Xamarin.Android.Support.v7.RecyclerView[0xb7c03188] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.RecyclerView.dll[0xb7c02800]: 2
02-10 21:28:04.084 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Android.Support.v7.RecyclerView' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.RecyclerView.dll)
02-10 21:28:04.084 D/Mono    (26521): Assembly Xamarin.Android.Support.v7.RecyclerView[0xb7c03188] added to domain RootDomain, ref_count=1
02-10 21:28:04.088 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.RecyclerView.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.v7.RecyclerView.dll.so" not found
02-10 21:28:04.089 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Android.Support.v7.RecyclerView.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.v7.RecyclerView.dll.so" not foundLoaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/SQLitePCLRaw.core.dll [External]

02-10 21:28:04.094 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.RecyclerView.dll'.
02-10 21:28:04.094 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.v7.RecyclerView.dll.config'.
02-10 21:28:04.095 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.v7.RecyclerView/Xamarin.Android.Support.v7.RecyclerView.config'.
02-10 21:28:04.096 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Vector.Drawable.dll'.
02-10 21:28:04.101 D/Mono    (26521): Image addref Xamarin.Android.Support.Vector.Drawable[0xb7c04060] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Vector.Drawable.dll[0xb7c03700]: 2
02-10 21:28:04.101 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Android.Support.Vector.Drawable' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Vector.Drawable.dll)
02-10 21:28:04.101 D/Mono    (26521): Assembly Xamarin.Android.Support.Vector.Drawable[0xb7c04060] added to domain RootDomain, ref_count=1
02-10 21:28:04.104 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Vector.Drawable.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.Vector.Drawable.dll.so" not found
02-10 21:28:04.106 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Android.Support.Vector.Drawable.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Android.Support.Vector.Drawable.dll.so" not found
02-10 21:28:04.108 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Vector.Drawable.dll'.
02-10 21:28:04.108 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Vector.Drawable.dll.config'.
02-10 21:28:04.109 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Vector.Drawable/Xamarin.Android.Support.Vector.Drawable.config'.
02-10 21:28:04.111 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Core.dll'.
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/SQLitePCLRaw.lib.e_sqlite3.dll [External]02-10 21:28:04.127 D/Mono    (26521): Image addref Xamarin.Forms.Core[0xb7c04ed0] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Core.dll[0xb7c045e8]: 2

02-10 21:28:04.128 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Forms.Core' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Core.dll)
02-10 21:28:04.128 D/Mono    (26521): Assembly Xamarin.Forms.Core[0xb7c04ed0] added to domain RootDomain, ref_count=1
02-10 21:28:04.130 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Core.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Core.dll.so" not found
02-10 21:28:04.132 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Forms.Core.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Core.dll.so" not found
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/SQLitePCLRaw.provider.e_sqlite3.dll [External]
02-10 21:28:04.141 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Core.dll'.
02-10 21:28:04.142 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Core.dll.config'.
02-10 21:28:04.142 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Forms.Core/Xamarin.Forms.Core.config'.
02-10 21:28:04.143 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.Android.dll'.
02-10 21:28:04.149 D/Mono    (26521): Image addref Xamarin.Forms.GoogleMaps.Android[0xb7c05f38] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.Android.dll[0xb7c05468]: 2
02-10 21:28:04.149 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Forms.GoogleMaps.Android' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.Android.dll)
02-10 21:28:04.149 D/Mono    (26521): Assembly Xamarin.Forms.GoogleMaps.Android[0xb7c05f38] added to domain RootDomain, ref_count=1
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Unity.Abstractions.dll [External]
02-10 21:28:04.155 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.GoogleMaps.Android.dll.so" not found
02-10 21:28:04.156 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Forms.GoogleMaps.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.GoogleMaps.Android.dll.so" not found
02-10 21:28:04.157 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.Android.dll'.
02-10 21:28:04.157 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.Android.dll.config'.
02-10 21:28:04.158 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Forms.GoogleMaps.Android/Xamarin.Forms.GoogleMaps.Android.config'.
02-10 21:28:04.159 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.dll'.
02-10 21:28:04.171 D/Mono    (26521): Image addref Xamarin.Forms.GoogleMaps[0xb7c06ee8] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.dll[0xb7c064e0]: 2
02-10 21:28:04.171 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Forms.GoogleMaps' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.dll)
02-10 21:28:04.171 D/Mono    (26521): Assembly Xamarin.Forms.GoogleMaps[0xb7c06ee8] added to domain RootDomain, ref_count=1
02-10 21:28:04.180 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.GoogleMaps.dll.so" not found
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Unity.Container.dll [External]02-10 21:28:04.188 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Forms.GoogleMaps.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.GoogleMaps.dll.so" not found

02-10 21:28:04.192 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.dll'.
02-10 21:28:04.192 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.GoogleMaps.dll.config'.
02-10 21:28:04.193 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Forms.GoogleMaps/Xamarin.Forms.GoogleMaps.config'.
02-10 21:28:04.199 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.Android.dll'.
02-10 21:28:04.212 D/Mono    (26521): Image addref Xamarin.Forms.Platform.Android[0xb7c07dc8] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.Android.dll[0xb7c074a0]: 2
02-10 21:28:04.214 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Forms.Platform.Android' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.Android.dll)
02-10 21:28:04.214 D/Mono    (26521): Assembly Xamarin.Forms.Platform.Android[0xb7c07dc8] added to domain RootDomain, ref_count=1
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Unity.ServiceLocation.dll [External]
02-10 21:28:04.227 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Platform.Android.dll.so" not foundLoaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Arch.Core.Common.dll [External]

02-10 21:28:04.233 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Forms.Platform.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Platform.Android.dll.so" not found
02-10 21:28:04.243 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.Android.dll'.
02-10 21:28:04.243 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.Android.dll.config'.
02-10 21:28:04.245 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Forms.Platform.Android/Xamarin.Forms.Platform.Android.config'.
02-10 21:28:04.246 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.dll'.
02-10 21:28:04.249 D/Mono    (26521): Image addref Xamarin.Forms.Platform[0xb7c08dd0] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.dll[0xb7c08390]: 2
02-10 21:28:04.250 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Forms.Platform' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.dll)
02-10 21:28:04.250 D/Mono    (26521): Assembly Xamarin.Forms.Platform[0xb7c08dd0] added to domain RootDomain, ref_count=1
02-10 21:28:04.256 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Platform.dll.so" not found
02-10 21:28:04.266 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Forms.Platform.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Platform.dll.so" not found
02-10 21:28:04.268 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.dll'.Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Arch.Lifecycle.Common.dll [External]

02-10 21:28:04.268 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Platform.dll.config'.
02-10 21:28:04.269 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Forms.Platform/Xamarin.Forms.Platform.config'.
02-10 21:28:04.272 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Xaml.dll'.
02-10 21:28:04.277 D/Mono    (26521): Image addref Xamarin.Forms.Xaml[0xb7c09c78] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Xaml.dll[0xb7c093a8]: 2
02-10 21:28:04.278 D/Mono    (26521): Prepared to set up assembly 'Xamarin.Forms.Xaml' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Xaml.dll)
02-10 21:28:04.278 D/Mono    (26521): Assembly Xamarin.Forms.Xaml[0xb7c09c78] added to domain RootDomain, ref_count=1
02-10 21:28:04.285 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Xaml.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Xaml.dll.so" not found
02-10 21:28:04.294 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.Forms.Xaml.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.Forms.Xaml.dll.so" not found
02-10 21:28:04.298 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Xaml.dll'.
02-10 21:28:04.298 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Forms.Xaml.dll.config'.
02-10 21:28:04.298 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Forms.Xaml/Xamarin.Forms.Xaml.config'.
02-10 21:28:04.300 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Basement.dll'.Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Arch.Lifecycle.Runtime.dll [External]

02-10 21:28:04.315 D/Mono    (26521): Image addref Xamarin.GooglePlayServices.Basement[0xb7c0acd8] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Basement.dll[0xb7c0a260]: 2
02-10 21:28:04.315 D/Mono    (26521): Prepared to set up assembly 'Xamarin.GooglePlayServices.Basement' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Basement.dll)
02-10 21:28:04.316 D/Mono    (26521): Assembly Xamarin.GooglePlayServices.Basement[0xb7c0acd8] added to domain RootDomain, ref_count=1
02-10 21:28:04.319 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Basement.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.GooglePlayServices.Basement.dll.so" not found
02-10 21:28:04.322 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.GooglePlayServices.Basement.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.GooglePlayServices.Basement.dll.so" not found
02-10 21:28:04.326 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Basement.dll'.
02-10 21:28:04.326 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Basement.dll.config'.
02-10 21:28:04.328 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.GooglePlayServices.Basement/Xamarin.GooglePlayServices.Basement.config'.
02-10 21:28:04.330 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Tasks.dll'.
02-10 21:28:04.338 D/Mono    (26521): Image addref Xamarin.GooglePlayServices.Tasks[0xb7c0bbb0] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Tasks.dll[0xb7c0b2d0]: 2
02-10 21:28:04.338 D/Mono    (26521): Prepared to set up assembly 'Xamarin.GooglePlayServices.Tasks' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Tasks.dll)
02-10 21:28:04.339 D/Mono    (26521): Assembly Xamarin.GooglePlayServices.Tasks[0xb7c0bbb0] added to domain RootDomain, ref_count=1
02-10 21:28:04.348 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Tasks.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.GooglePlayServices.Tasks.dll.so" not found
02-10 21:28:04.354 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.GooglePlayServices.Tasks.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.GooglePlayServices.Tasks.dll.so" not found
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll [External]
02-10 21:28:04.359 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Tasks.dll'.
02-10 21:28:04.359 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Tasks.dll.config'.
02-10 21:28:04.360 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.GooglePlayServices.Tasks/Xamarin.GooglePlayServices.Tasks.config'.
02-10 21:28:04.362 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Base.dll'.
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Annotations.dll [External]
02-10 21:28:04.384 D/Mono    (26521): Image addref Xamarin.GooglePlayServices.Base[0xb7c0ca70] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Base.dll[0xb7c0c1b8]: 2
02-10 21:28:04.385 D/Mono    (26521): Prepared to set up assembly 'Xamarin.GooglePlayServices.Base' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Base.dll)
02-10 21:28:04.385 D/Mono    (26521): Assembly Xamarin.GooglePlayServices.Base[0xb7c0ca70] added to domain RootDomain, ref_count=1
02-10 21:28:04.389 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Base.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.GooglePlayServices.Base.dll.so" not foundLoaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Compat.dll [External]

02-10 21:28:04.393 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Xamarin.GooglePlayServices.Base.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Xamarin.GooglePlayServices.Base.dll.so" not foundLoaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Core.UI.dll [External]

02-10 21:28:04.398 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Base.dll'.
Loaded assembly: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.Android.Support.Core.Utils.dll [External]02-10 21:28:04.398 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Base.dll.config'.

02-10 21:28:04.399 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.GooglePlayServices.Base/Xamarin.GooglePlayServices.Base.config'.
02-10 21:28:04.400 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Maps.dll'.
02-10 21:28:04.418 D/Mono    (26521): Image addref Xamarin.GooglePlayServices.Maps[0xb7c0d940] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Maps.dll[0xb7c0d088]: 2
02-10 21:28:04.420 D/Mono    (26521): Prepared to set up assembly 'Xamarin.GooglePlayServices.Maps' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Xamarin.GooglePlayServices.Maps.dll)
